,season,week,avg_error,level,intercept_constant,hfa_base
0,1999,1,,,,2.75
1,1999,2,,,,2.75
2,1999,3,,,,2.75
3,1999,4,,,,2.75
4,1999,5,,,,2.75
5,1999,6,,,,2.75
6,1999,7,,,,2.75
7,1999,8,,,,2.75
8,1999,9,,,,2.75
9,1999,10,,,,2.75
10,1999,11,,,,2.75
11,1999,12,,,,2.75
12,1999,13,,,,2.75
13,1999,14,,,,2.75
14,1999,15,,,,2.75
15,1999,16,,,,2.75
16,1999,17,,,,2.75
17,1999,18,,,,2.75
18,1999,19,,,,2.75
19,1999,20,,,,2.75
20,1999,21,,,,2.75
21,2000,1,,,,2.75
22,2000,2,,,,2.75
23,2000,3,,,,2.75
24,2000,4,,,,2.75
25,2000,5,,,,2.75
26,2000,6,,,,2.75
27,2000,7,,,,2.75
28,2000,8,,,,2.75
29,2000,9,,,,2.75
30,2000,10,,,,2.75
31,2000,11,,,,2.75
32,2000,12,,,,2.75
33,2000,13,,,,2.75
34,2000,14,,,,2.75
35,2000,15,,,,2.75
36,2000,16,,,,2.75
37,2000,17,,,,2.75
38,2000,18,,,,2.75
39,2000,19,,,,2.75
40,2000,20,,,,2.75
41,2000,21,,,,2.75
42,2001,1,,,,2.75
43,2001,2,,,,2.75
44,2001,3,,,,2.75
45,2001,4,,,,2.75
46,2001,5,,,,2.75
47,2001,6,,,,2.75
48,2001,7,,,,2.75
49,2001,8,,,,2.75
50,2001,9,,,,2.75
51,2001,10,,,,2.75
52,2001,11,,,,2.75
53,2001,12,,,,2.75
54,2001,13,,,,2.75
55,2001,14,,,,2.75
56,2001,15,,,,2.75
57,2001,16,,,,2.75
58,2001,17,,,,2.75
59,2001,18,,,,2.75
60,2001,19,,,,2.75
61,2001,20,,,,2.75
62,2001,21,,,,2.75
63,2002,1,,,,2.75
64,2002,2,,,,2.75
65,2002,3,,,,2.75
66,2002,4,,,,2.75
67,2002,5,,,,2.75
68,2002,6,,,,2.75
69,2002,7,,,,2.75
70,2002,8,,,,2.75
71,2002,9,,,,2.75
72,2002,10,,,,2.75
73,2002,11,,,,2.75
74,2002,12,,,,2.75
75,2002,13,,,,2.75
76,2002,14,,,,2.75
77,2002,15,,,,2.75
78,2002,16,,,,2.75
79,2002,17,,,,2.75
80,2002,18,,,,2.75
81,2002,19,,,,2.75
82,2002,20,,,,2.75
83,2002,21,,,,2.75
84,2003,1,5.930625,2.75,1.0,2.75
85,2003,2,-0.46375003,2.75,1.0,2.75
86,2003,3,0.45499992,2.75,1.0,2.75
87,2003,4,-1.9078572,2.75,1.0,2.75
88,2003,5,1.3007141,2.75,1.0,2.75
89,2003,6,4.572143,2.75,1.0,2.75
90,2003,7,-2.4742856,2.75,1.0,2.75
91,2003,8,5.7453847,2.75,1.0,2.75
92,2003,9,3.8757145,2.75,1.0,2.75
93,2003,10,6.307143,2.75,1.0,2.75
94,2003,11,8.41875,2.75,1.0,2.75
95,2003,12,0.28687495,2.75,1.0,2.75
96,2003,13,6.9700003,2.75,1.0,2.75
97,2003,14,10.95,2.75,1.0,2.75
98,2003,15,5.6625,2.75,1.0,2.75
99,2003,16,-1.51375,2.75,1.0,2.75
100,2003,17,7.29375,2.75,1.0,2.75
101,2003,18,,,,2.75
102,2003,19,,,,2.75
103,2003,20,,,,2.75
104,2003,21,,,,2.75
105,2004,1,2.476875,2.75,1.0,2.75
106,2004,2,1.4781251,2.75,1.0,2.75
107,2004,3,0.7885714,2.75,1.0,2.75
108,2004,4,1.0071427,2.75,1.0,2.75
109,2004,5,-1.0535715,2.75,1.0,2.75
110,2004,6,-0.89642864,2.75,1.0,2.75
111,2004,7,8.415714,2.75,1.0,2.75
112,2004,8,6.3064284,2.75,1.0,2.75
113,2004,9,4.7578573,2.75,1.0,2.75
114,2004,10,4.415,2.75,1.0,2.75
115,2004,11,3.391875,2.75,1.0,2.75
116,2004,12,0.64875007,2.75,1.0,2.75
117,2004,13,6.8475003,2.75,1.0,2.75
118,2004,14,4.0525,2.75,1.0,2.75
119,2004,15,2.561875,2.75,1.0,2.75
120,2004,16,-2.3825002,2.75,1.0,2.75
121,2004,17,-0.6518751,2.75,1.0,2.75
122,2004,18,,,,2.75
123,2004,19,,,,2.75
124,2004,20,,,,2.75
125,2004,21,,,,2.75
126,2005,1,6.82125,2.75,1.0,2.75
127,2005,2,7.543125,2.75,1.0,2.75
128,2005,3,4.5721426,2.75,1.0,2.75
129,2005,4,0.90384614,2.75,1.0,2.75
130,2005,5,6.8471427,2.75,1.0,2.75
131,2005,6,6.580714,2.75,1.0,2.75
132,2005,7,5.1735716,2.75,1.0,2.75
133,2005,8,8.910714,2.75,1.0,2.75
134,2005,9,-0.64928573,2.75,1.0,2.75
135,2005,10,2.7685714,2.75,1.0,2.75
136,2005,11,3.48,2.75,1.0,2.75
137,2005,12,1.5300001,2.75,1.0,2.75
138,2005,13,0.6200001,2.75,1.0,2.75
139,2005,14,1.5031248,2.75,1.0,2.75
140,2005,15,6.02125,2.75,1.0,2.75
141,2005,16,1.1356251,2.75,1.0,2.75
142,2005,17,1.8362501,2.75,1.0,2.75
143,2005,18,,,,2.75
144,2005,19,,,,2.75
145,2005,20,,,,2.75
146,2005,21,,,,2.75
147,2006,1,-6.801875,2.75,1.0,2.75
148,2006,2,6.9712496,2.75,1.0,2.75
149,2006,3,-0.7571427,2.75,1.0,2.75
150,2006,4,5.8678575,2.75,1.0,2.75
151,2006,5,9.846428,2.75,1.0,2.75
152,2006,6,2.9438462,2.75,1.0,2.75
153,2006,7,1.7815385,2.75,1.0,2.75
154,2006,8,0.72071415,2.75,1.0,2.75
155,2006,9,1.3021431,2.75,1.0,2.75
156,2006,10,-1.2918749,2.75,1.0,2.75
157,2006,11,-0.3643751,2.75,1.0,2.75
158,2006,12,3.8087502,2.75,1.0,2.75
159,2006,13,-1.1493748,2.75,1.0,2.75
160,2006,14,0.98562473,2.75,1.0,2.75
161,2006,15,-2.59125,2.75,1.0,2.75
162,2006,16,-3.911875,2.75,1.0,2.75
163,2006,17,-6.5,2.75,1.0,2.75
164,2006,18,,,,2.75
165,2006,19,,,,2.75
166,2006,20,,,,2.75
167,2006,21,,,,2.75
168,2007,1,3.27375,2.75,1.0,2.75
169,2007,2,2.2043748,2.75,1.0,2.75
170,2007,3,2.9499998,2.75,1.0,2.75
171,2007,4,2.2514284,2.75,1.0,2.75
172,2007,5,2.4614284,2.75,1.0,2.75
173,2007,6,-1.0130769,2.75,1.0,2.75
174,2007,7,3.3235714,2.75,1.0,2.75
175,2007,8,-1.3633333,2.75,1.0,2.75
176,2007,9,7.1314282,2.75,1.0,2.75
177,2007,10,-2.412857,2.75,1.0,2.75
178,2007,11,-0.79999995,2.75,1.0,2.75
179,2007,12,0.5068749,2.75,1.0,2.75
180,2007,13,4.2131248,2.75,1.0,2.75
181,2007,14,6.995625,2.75,1.0,2.75
182,2007,15,4.763125,2.75,1.0,2.75
183,2007,16,5.726875,2.75,1.0,2.75
184,2007,17,6.410625,2.75,1.0,2.75
185,2007,18,,,,2.75
186,2007,19,,,,2.75
187,2007,20,,,,2.75
188,2007,21,,,,2.75
189,2008,1,3.2206252,2.75,1.0,2.75
190,2008,2,-3.548,2.75,1.0,2.75
191,2008,3,4.825,2.75,1.0,2.75
192,2008,4,5.4769235,2.75,1.0,2.75
193,2008,5,3.875714,2.75,1.0,2.75
194,2008,6,7.6507144,2.75,1.0,2.75
195,2008,7,7.281429,2.75,1.0,2.75
196,2008,8,2.620769,2.75,1.0,2.75
197,2008,9,-3.6421428,2.75,1.0,2.75
198,2008,10,-0.32571453,2.75,1.0,2.75
199,2008,11,3.0106251,2.75,1.0,2.75
200,2008,12,-3.66,2.75,1.0,2.75
201,2008,13,-2.350625,2.75,1.0,2.75
202,2008,14,7.975333,2.75,1.0,2.75
203,2008,15,3.13125,2.75,1.0,2.75
204,2008,16,2.0075,2.75,1.0,2.75
205,2008,17,6.77625,2.75,1.0,2.75
206,2008,18,,,,2.75
207,2008,19,,,,2.75
208,2008,20,,,,2.75
209,2008,21,,,,2.75
210,2009,1,-0.64624983,2.75,1.0,2.75
211,2009,2,-1.3349999,2.75,1.0,2.75
212,2009,3,0.1681251,2.75,1.0,2.75
213,2009,4,11.9871435,2.75,1.0,2.75
214,2009,5,1.5064287,2.75,1.0,2.75
215,2009,6,3.194286,2.75,1.0,2.75
216,2009,7,-5.1175,2.75,1.0,2.75
217,2009,8,2.206923,2.75,1.0,2.75
218,2009,9,-0.866154,2.75,1.0,2.75
219,2009,10,5.776,2.75,1.0,2.75
220,2009,11,0.31249994,2.75,1.0,2.75
221,2009,12,6.685,2.75,1.0,2.75
222,2009,13,1.535,2.75,1.0,2.75
223,2009,14,6.7806253,2.75,1.0,2.75
224,2009,15,0.13562489,2.75,1.0,2.75
225,2009,16,0.901875,2.75,1.0,2.75
226,2009,17,5.3862505,2.75,1.0,2.75
227,2009,18,,,,2.75
228,2009,19,,,,2.75
229,2009,20,,,,2.75
230,2009,21,,,,2.75
231,2010,1,7.84125,2.75,1.0,2.75
232,2010,2,6.1675,2.75,1.0,2.75
233,2010,3,-2.1131253,2.75,1.0,2.75
234,2010,4,-0.26357147,2.75,1.0,2.75
235,2010,5,2.9071429,2.75,1.0,2.75
236,2010,6,0.72714275,2.75,1.0,2.75
237,2010,7,-1.8771428,2.75,1.0,2.75
238,2010,8,3.875,2.75,1.0,2.75
239,2010,9,2.2015386,2.75,1.0,2.75
240,2010,10,0.76857173,2.75,1.0,2.75
241,2010,11,-0.7787502,2.75,1.0,2.75
242,2010,12,-3.125,2.75,1.0,2.75
243,2010,13,3.2818751,2.75,1.0,2.75
244,2010,14,5.812667,2.75,1.0,2.75
245,2010,15,-0.15499997,2.75,1.0,2.75
246,2010,16,3.454375,2.75,1.0,2.75
247,2010,17,3.3825,2.75,1.0,2.75
248,2010,18,,,,2.75
249,2010,19,,,,2.75
250,2010,20,,,,2.75
251,2010,21,,,,2.75
252,2011,1,2.485625,2.75,1.0,2.75
253,2011,2,8.691875,2.75,1.0,2.75
254,2011,3,-0.53749985,2.75,1.0,2.75
255,2011,4,2.148125,2.75,1.0,2.75
256,2011,5,5.332307,2.75,1.0,2.75
257,2011,6,6.157692,2.75,1.0,2.75
258,2011,7,2.295833,2.75,1.0,2.75
259,2011,8,3.74,2.75,1.0,2.75
260,2011,9,-5.3342857,2.75,1.0,2.75
261,2011,10,0.2856251,2.75,1.0,2.75
262,2011,11,4.227857,2.75,1.0,2.75
263,2011,12,1.0062499,2.75,1.0,2.75
264,2011,13,2.14375,2.75,1.0,2.75
265,2011,14,5.7337503,2.75,1.0,2.75
266,2011,15,3.0118752,2.75,1.0,2.75
267,2011,16,6.453125,2.75,1.0,2.75
268,2011,17,6.46375,2.75,1.0,2.75
269,2011,18,,,,2.75
270,2011,19,,,,2.75
271,2011,20,,,,2.75
272,2011,21,,,,2.75
273,2012,1,2.726875,2.75,1.0,2.75
274,2012,2,8.9825,2.75,1.0,2.75
275,2012,3,-0.07812482,2.75,1.0,2.75
276,2012,4,-4.122,2.75,1.0,2.75
277,2012,5,5.6064286,2.75,1.0,2.75
278,2012,6,1.3892858,2.75,1.0,2.75
279,2012,7,1.0999999,2.75,1.0,2.75
280,2012,8,-3.8146157,2.75,1.0,2.75
281,2012,9,-0.008571489,2.75,1.0,2.75
282,2012,10,-0.91000026,2.75,1.0,2.75
283,2012,11,1.3449999,2.75,1.0,2.75
284,2012,12,3.480625,2.75,1.0,2.75
285,2012,13,1.8256248,2.75,1.0,2.75
286,2012,14,8.423125,2.75,1.0,2.75
287,2012,15,1.6543752,2.75,1.0,2.75
288,2012,16,4.1081247,2.75,1.0,2.75
289,2012,17,8.106875,2.75,1.0,2.75
290,2012,18,,,,2.75
291,2012,19,,,,2.75
292,2012,20,,,,2.75
293,2012,21,,,,2.75
294,2013,1,0.48125,2.75,1.0,2.75
295,2013,2,3.365,2.75,1.0,2.75
296,2013,3,6.5431247,2.75,1.0,2.75
297,2013,4,5.210714,2.75,1.0,2.75
298,2013,5,6.075714,2.75,1.0,2.75
299,2013,6,-2.5286667,2.75,1.0,2.75
300,2013,7,1.3720002,2.75,1.0,2.75
301,2013,8,5.7433333,2.75,1.0,2.75
302,2013,9,2.1538458,2.75,1.0,2.75
303,2013,10,-1.587143,2.75,1.0,2.75
304,2013,11,6.6319995,2.75,1.0,2.75
305,2013,12,2.3164287,2.75,1.0,2.75
306,2013,13,3.784,2.75,1.0,2.75
307,2013,14,7.96125,2.75,1.0,2.75
308,2013,15,0.52562493,2.75,1.0,2.75
309,2013,16,2.4593754,2.75,1.0,2.75
310,2013,17,3.8781252,2.75,1.0,2.75
311,2013,18,,,,2.75
312,2013,19,,,,2.75
313,2013,20,,,,2.75
314,2013,21,,,,2.75
315,2014,1,1.0625,2.75,1.0,2.75
316,2014,2,2.453125,2.75,1.0,2.75
317,2014,3,2.5287497,2.75,1.0,2.75
318,2014,4,4.973334,2.75,1.0,2.75
319,2014,5,8.335333,2.75,1.0,2.75
320,2014,6,-1.6020001,2.75,1.0,2.75
321,2014,7,6.8519998,2.75,1.0,2.75
322,2014,8,6.1207147,2.75,1.0,2.75
323,2014,9,3.3215382,2.75,1.0,2.75
324,2014,10,4.88,2.75,1.0,2.75
325,2014,11,0.2164286,2.75,1.0,2.75
326,2014,12,4.825,2.75,1.0,2.75
327,2014,13,6.67875,2.75,1.0,2.75
328,2014,14,-6.3262496,2.75,1.0,2.75
329,2014,15,-1.4962502,2.75,1.0,2.75
330,2014,16,4.8881254,2.75,1.0,2.75
331,2014,17,-2.1268752,2.75,1.0,2.75
332,2014,18,,,,2.75
333,2014,19,,,,2.75
334,2014,20,,,,2.75
335,2014,21,,,,2.75
336,2015,1,1.7774999,2.75,1.0,2.75
337,2015,2,2.37625,2.75,1.0,2.75
338,2015,3,2.8018746,2.75,1.0,2.75
339,2015,4,0.75285727,2.75,1.0,2.75
340,2015,5,-1.6107142,2.75,1.0,2.75
341,2015,6,1.7592857,2.75,1.0,2.75
342,2015,7,2.6053846,2.75,1.0,2.75
343,2015,8,6.3215384,2.75,1.0,2.75
344,2015,9,2.5692306,2.75,1.0,2.75
345,2015,10,-3.8578572,2.75,1.0,2.75
346,2015,11,-2.0457141,2.75,1.0,2.75
347,2015,12,6.010625,2.75,1.0,2.75
348,2015,13,-3.535625,2.75,1.0,2.75
349,2015,14,3.008125,2.75,1.0,2.75
350,2015,15,1.7643749,2.75,1.0,2.75
351,2015,16,3.6875,2.75,1.0,2.75
352,2015,17,1.175,2.75,1.0,2.75
353,2015,18,,,,2.75
354,2015,19,,,,2.75
355,2015,20,,,,2.75
356,2015,21,,,,2.75
357,2016,1,1.1643751,2.75,1.0,2.75
358,2016,2,5.094375,2.75,1.0,2.75
359,2016,3,5.315625,2.75,1.0,2.75
360,2016,4,2.0885715,2.75,1.0,2.75
361,2016,5,-0.7042856,2.75,1.0,2.75
362,2016,6,5.8120008,2.75,1.0,2.75
363,2016,7,2.0557141,2.75,1.0,2.75
364,2016,8,3.9208333,2.75,1.0,2.75
365,2016,9,-0.61230755,2.75,1.0,2.75
366,2016,10,3.3521428,2.75,1.0,2.75
367,2016,11,2.833077,2.75,1.0,2.75
368,2016,12,1.9375001,2.75,1.0,2.75
369,2016,13,5.7746663,2.75,1.0,2.75
370,2016,14,2.04875,2.75,1.0,2.75
371,2016,15,-2.3312502,2.75,1.0,2.75
372,2016,16,5.965,2.75,1.0,2.75
373,2016,17,3.206875,2.75,1.0,2.75
374,2016,18,,,,2.75
375,2016,19,,,,2.75
376,2016,20,,,,2.75
377,2016,21,,,,2.75
378,2017,1,-0.10000021,2.75,1.0,2.75
379,2017,2,1.4337499,2.75,1.0,2.75
380,2017,3,4.0220003,2.75,1.0,2.75
381,2017,4,2.5173335,2.75,1.0,2.75
382,2017,5,-1.9157143,2.75,1.0,2.75
383,2017,6,-0.39071417,2.75,1.0,2.75
384,2017,7,2.6999996,2.75,1.0,2.75
385,2017,8,4.0583334,2.75,1.0,2.75
386,2017,9,2.2346153,2.75,1.0,2.75
387,2017,10,1.8221428,2.75,1.0,2.75
388,2017,11,1.8876923,2.75,1.0,2.75
389,2017,12,1.5718751,2.75,1.0,2.75
390,2017,13,7.905,2.6463430416566207,1.0,2.75
391,2017,14,2.540625,2.5820983774102997,1.0,2.6463430416566207
392,2017,15,2.8525,2.5252527068090416,1.0,2.5820983774102997
393,2017,16,5.0168753,2.476646741171355,1.0,2.5252527068090416
394,2017,17,2.8568752,2.437562525559151,1.0,2.476646741171355
395,2017,18,,,,2.476646741171355
396,2017,19,,,,2.476646741171355
397,2017,20,,,,2.476646741171355
398,2017,21,,,,2.476646741171355
399,2018,1,-1.6931247,2.404569374005308,1.0,2.437562525559151
400,2018,2,2.8525,2.368133947168563,1.0,2.404569374005308
401,2018,3,2.7574997,2.3318862937192355,1.0,2.368133947168563
402,2018,4,5.9926667,2.3073808380789336,1.0,2.3318862937192355
403,2018,5,8.394,2.2991702109562495,1.0,2.3073808380789336
404,2018,6,1.1250001,2.3147354863261644,1.0,2.2991702109562495
405,2018,7,-2.9784617,2.3317691105642084,1.0,2.3147354863261644
406,2018,8,0.9376925,2.3264367265226613,1.0,2.3317691105642084
407,2018,9,0.32153848,2.3239069250186293,1.0,2.3264367265226613
408,2018,10,-0.21142843,2.327782371247798,1.0,2.3239069250186293
409,2018,11,5.731539,2.327851158053727,1.0,2.327782371247798
410,2018,12,4.2966666,2.3316546553461106,1.0,2.327851158053727
411,2018,13,4.2837496,2.3470495459534435,1.0,2.3316546553461106
412,2018,14,3.136875,2.3649366925781545,1.0,2.3470495459534435
413,2018,15,4.14,2.3800623937651433,1.0,2.3649366925781545
414,2018,16,-0.30437517,2.3947976483071427,1.0,2.3800623937651433
415,2018,17,-3.046875,2.396621278177449,1.0,2.3947976483071427
416,2018,18,,,,2.3947976483071427
417,2018,19,,,,2.3947976483071427
418,2018,20,,,,2.3947976483071427
419,2018,21,,,,2.3947976483071427
420,2019,1,-2.8806252,2.3769757469339243,1.0,2.396621278177449
421,2019,2,-5.320625,2.3405085087693407,1.0,2.3769757469339243
422,2019,3,-0.82000005,2.2968017250681165,1.0,2.3405085087693407
423,2019,4,-2.3033335,2.2573569142827665,1.0,2.2968017250681165
424,2019,5,1.18,2.214981234028162,1.0,2.2573569142827665
425,2019,6,1.290769,2.17990440284285,1.0,2.214981234028162
426,2019,7,-4.0985713,2.149687727499347,1.0,2.17990440284285
427,2019,8,2.6764286,2.1039096839858855,1.0,2.149687727499347
428,2019,9,9.454616,2.074089815272011,1.0,2.1039096839858855
429,2019,10,-3.0707698,2.072934217255448,1.0,2.074089815272011
430,2019,11,0.53615373,2.0567493763609455,1.0,2.072934217255448
431,2019,12,3.187857,2.0316041492190844,1.0,2.0567493763609455
432,2019,13,0.29312494,2.0092621747513912,1.0,2.0316041492190844
433,2019,14,-1.73,1.9916463034276695,1.0,2.0092621747513912
434,2019,15,1.681875,1.973210453134055,1.0,1.9916463034276695
435,2019,16,-1.400625,1.9598096342291667,1.0,1.973210453134055
436,2019,17,-0.28875008,1.9363292464492583,1.0,1.9598096342291667
437,2019,18,,,,1.9598096342291667
438,2019,19,,,,1.9598096342291667
439,2019,20,,,,1.9598096342291667
440,2019,21,,,,1.9598096342291667
441,2020,1,,,,0.25
442,2020,2,,,,0.25
443,2020,3,,,,0.25
444,2020,4,,,,0.25
445,2020,5,,,,0.25
446,2020,6,,,,0.25
447,2020,7,,,,0.25
448,2020,8,,,,0.25
449,2020,9,,,,0.25
450,2020,10,,,,0.25
451,2020,11,,,,0.25
452,2020,12,,,,0.25
453,2020,13,,,,0.25
454,2020,14,,,,0.25
455,2020,15,,,,0.25
456,2020,16,,,,0.25
457,2020,17,,,,0.25
458,2020,18,,,,0.25
459,2020,19,,,,0.25
460,2020,20,,,,0.25
461,2020,21,,,,0.25
462,2021,1,-1.9279999,1.916502012144396,1.0,1.9363292464492583
463,2021,2,-1.196875,1.8946600185628977,1.0,1.916502012144396
464,2021,3,2.9756248,1.8713849548098807,1.0,1.8946600185628977
465,2021,4,-0.28312492,1.8645496153091998,1.0,1.8713849548098807
466,2021,5,-0.14399983,1.8479393406589661,1.0,1.8645496153091998
467,2021,6,-2.8153844,1.8286987634672947,1.0,1.8479393406589661
468,2021,7,7.546923,1.8006667024264593,1.0,1.8286987634672947
469,2021,8,-1.7239999,1.7926794368187748,1.0,1.8006667024264593
470,2021,9,-4.335,1.7728554350034953,1.0,1.7926794368187748
471,2021,10,3.4821427,1.7371218816847622,1.0,1.7728554350034953
472,2021,11,-5.9573336,1.717649614282327,1.0,1.7371218816847622
473,2021,12,4.9059997,1.6771236254200057,1.0,1.717649614282327
474,2021,13,0.43285713,1.6519278312262022,1.0,1.6771236254200057
475,2021,14,3.6364284,1.6137219975729953,1.0,1.6519278312262022
476,2021,15,2.79,1.5940432320797964,1.0,1.6137219975729953
477,2021,16,3.251875,1.5758920329043014,1.0,1.5940432320797964
478,2021,17,10.330625,1.5699009640715775,1.0,1.5758920329043014
479,2021,18,3.50375,1.6001612454153344,1.0,1.5699009640715775
480,2021,19,,,,1.5699009640715775
481,2021,20,,,,1.5699009640715775
482,2021,21,,,,1.5699009640715775
483,2021,22,,,,1.5699009640715775
484,2022,1,0.16937515,1.6302918724926327,1.0,1.6001612454153344
485,2022,2,6.375,1.6489740237529802,1.0,1.6302918724926327
486,2022,3,-2.84375,1.6747190925189441,1.0,1.6489740237529802
487,2022,4,2.0486667,1.6803324132109698,1.0,1.6747190925189441
488,2022,5,1.9553335,1.6799206932689863,1.0,1.6803324132109698
489,2022,6,1.9428571,1.675600517575118,1.0,1.6799206932689863
490,2022,7,1.1249999,1.6740761088271694,1.0,1.675600517575118
491,2022,8,5.537857,1.6652947634644995,1.0,1.6740761088271694
492,2022,9,2.7269228,1.6664025235603237,1.0,1.6652947634644995
493,2022,10,1.97,1.6621911072339277,1.0,1.6664025235603237
494,2022,11,-3.925,1.649425473918571,1.0,1.6621911072339277
495,2022,12,4.1762495,1.6087475276769876,1.0,1.649425473918571
496,2022,13,5.0293336,1.582830262719506,1.0,1.6087475276769876
497,2022,14,0.6761538,1.5698856421990701,1.0,1.582830262719506
498,2022,15,1.38125,1.5560023212856504,1.0,1.5698856421990701
499,2022,16,1.8674998,1.5424133306594288,1.0,1.5560023212856504
500,2022,17,4.034,1.5307918298091903,1.0,1.5424133306594288
501,2022,18,4.8043747,1.522001473979047,1.0,1.5307918298091903
502,2022,19,,,,1.5307918298091903
503,2022,20,,,,1.5307918298091903
504,2022,21,,,,1.5307918298091903
505,2022,22,,,,1.5307918298091903
506,2023,1,-4.4256253,1.523975315493898,1.0,1.522001473979047
507,2023,2,1.401875,1.501222722189959,1.0,1.523975315493898
508,2023,3,4.305625,1.4875000814505284,1.0,1.501222722189959
509,2023,4,2.8106668,1.4757793860884005,1.0,1.4875000814505284
510,2023,5,-0.292308,1.4636028398134382,1.0,1.4757793860884005
511,2023,6,3.4521427,1.443918571497753,1.0,1.4636028398134382
512,2023,7,8.533077,1.4343242744076488,1.0,1.443918571497753
513,2023,8,2.365625,1.4517384794735124,1.0,1.4343242744076488
514,2023,9,5.792308,1.4701420901575712,1.0,1.4517384794735124
515,2023,10,0.41769212,1.50070767240957,1.0,1.4701420901575712
516,2023,11,2.3500001,1.5266755587616676,1.0,1.50070767240957
517,2023,12,-0.12812497,1.5499335478606961,1.0,1.5266755587616676
518,2023,13,-3.2784615,1.5539782020028612,1.0,1.5499335478606961
519,2023,14,5.4319997,1.545312462599949,1.0,1.5539782020028612
520,2023,15,7.5575,1.552524533507059,1.0,1.545312462599949
521,2023,16,2.78,1.5765456107478593,1.0,1.552524533507059
522,2023,17,4.3356247,1.6059312883559584,1.0,1.5765456107478593
523,2023,18,3.0325003,1.64375212837288,1.0,1.6059312883559584
524,2023,19,,,,1.6059312883559584
525,2023,20,,,,1.6059312883559584
526,2023,21,,,,1.6059312883559584
527,2023,22,,,,1.6059312883559584
528,2024,1,,,,1.6059312883559584
529,2024,2,,,,1.6059312883559584
530,2024,3,,,,1.6059312883559584
531,2024,4,,,,1.6059312883559584
532,2024,5,,,,1.6059312883559584
533,2024,6,,,,1.6059312883559584
534,2024,7,,,,1.6059312883559584
535,2024,8,,,,1.6059312883559584
536,2024,9,,,,1.6059312883559584
537,2024,10,,,,1.6059312883559584
538,2024,11,,,,1.6059312883559584
539,2024,12,,,,1.6059312883559584
540,2024,13,,,,1.6059312883559584
541,2024,14,,,,1.6059312883559584
542,2024,15,,,,1.6059312883559584
543,2024,16,,,,1.6059312883559584
544,2024,17,,,,1.6059312883559584
545,2024,18,,,,1.6059312883559584
